Mode,Frequency_Hz,Trial,Speed_cm_s,Speed_m_s,Power_W,Energy_J,COT,Reynolds_number,Strouhal_number
thunniform,1.5,2,3.58777560330389,0.0358777560330389,1.75269329060497,19.5688128213984,4.88215397994687,18309.7492024789,2.52022450670367
thunniform,1.5,3,3.41670039795066,0.0341670039795066,1.74390316967954,20.4594994042971,5.10089389371306,17436.6889971819,2.64641289749122
thunniform,1.5,4,3.64531551280512,0.0364531551280512,1.73944243996223,19.0746557176687,4.76876321890483,18603.3966956864,2.48044372791261
thunniform,1.5,5,3.94758102575979,0.0394758102575979,1.736704284966,17.4799104278041,4.39668795690076,20145.9696842707,2.29051663309677
thunniform,1.5,6,3.07527604049444,0.0307527604049444,1.73768785245585,22.5308296201954,5.64700901861624,15694.2739055345,2.94022386313856
ostraciiform,1.5,1,8.04211723842546,0.0804211723842546,1.968057604469,9.84032392244123,2.44567208671021,41041.9061763241,1.42555743221727
ostraciiform,1.5,2,8.02800178770682,0.0802800178770682,1.99155288406744,9.89006343255097,2.47922078119819,40969.8697974881,1.42806395703043
ostraciiform,1.5,3,8.33146091473348,0.0833146091473348,1.97815016522677,9.49322262300157,2.37284252100142,42518.5342412578,1.37604918481055
ostraciiform,1.5,4,8.10499786234979,0.0810499786234979,1.96192362566282,9.61142348756432,2.41913448962048,41362.8093154974,1.41449759700199
ostraciiform,1.5,5,8.08975891542315,0.0808975891542315,1.99756027181927,9.92020874088178,2.4677157535945,41285.0393189348,1.41716213299545
ostraciiform,1.5,6,8.22549505864916,0.0822549505864916,1.97357012315594,9.53819537168728,2.39784627403786,41977.7511869489,1.39377629167074
anguilliform,2,1,0.791561714935379,0.00791561714935379,1.52834050681071,77.2316892614821,19.2959499430976,4039.63293172639,6.2079808905376
anguilliform,2,2,0.534817384562252,0.00534817384562252,1.52589430745624,118.342718618352,28.5134493229707,2729.37141649635,9.18818299824362
anguilliform,2,3,0.54128919291491,0.00541289192914909,1.52761180293456,121.85132783085,28.2042444307005,2762.39945417923,9.07832645528631
anguilliform,2,4,0.479983052148368,0.00479983052148368,1.52628836248893,127.342801678394,31.7790939329749,2449.53148635717,10.2378614786612
anguilliform,2,5,0.55006753453696,0.0055006753453696,1.52173483541784,113.775246397377,27.6473678035277,2807.19858636727,8.93344851580188
anguilliform,2,6,0.669514658519509,0.00669514658519509,1.52628794074125,95.5563557326769,22.7828055614573,3416.78154943327,7.3396451257188
subcarangiform,2,1,1.07329497292226,0.0107329497292226,1.69781853848507,78.6119068357372,15.8089489472637,5477.42221012685,4.82066918278091
subcarangiform,2,2,0.740048153258871,0.00740048153258871,1.69194358311316,91.5324561127654,22.8484487208804,3776.74012595707,6.99143694530662
subcarangiform,2,3,0.721744562701964,0.00721744562701964,1.6808586267491,93.174998867872,23.2743996551018,3683.33011662058,7.16874122422249
subcarangiform,2,4,0.841697096932189,0.00841697096932189,1.68612085696956,79.3302070218245,20.0199824369508,4295.49237557978,6.14710448551879
subcarangiform,2,5,1.04274392422646,0.0104274392422646,1.68726564215412,64.8465316541793,16.170990273474,5321.50888071525,4.96190855663651
subcarangiform,2,6,0.838643685162264,0.00838643685162264,1.67117045444859,79.9921135367392,19.9147146793763,4279.90968315394,6.16948543408983
carangiform,2,1,0.835773883792069,0.00835773883792069,1.46366147124747,68.9120380375571,17.5017979358405,4265.26402267818,5.4536281743089
carangiform,2,2,0.841192210739009,0.00841192210739009,1.46705293277777,86.166596810607,17.4293568678807,4292.91575413099,5.41850000726431
carangiform,2,3,0.497693242986169,0.00497693242986169,1.45794911322714,125.994122835477,29.2759800419034,2539.91315690245,9.15825172279197
carangiform,2,4,0.626309612808729,0.00626309612808729,1.46184341568059,107.94904837368,23.3261250421435,3196.29018132275,7.27755076208927
carangiform,2,5,0.66768610827564,0.0066768610827564,1.4612336809871,94.4983831363151,21.8714791180321,3407.44977953703,6.82656107938422
carangiform,2,6,0.537979904786481,0.00537979904786481,1.46647591169981,109.007449871098,27.2420446741459,2745.51092982045,8.47243541895682
thunniform,2,1,1.47560909409464,0.0147560909409464,1.62801943925291,43.9288908511296,11.0260278222379,7530.5803431212,5.85520923839322
thunniform,2,2,1.85539689536809,0.0185539689536809,1.62522944266019,35.3766005974667,8.75404302341794,9468.7783132156,4.65668559733464
thunniform,2,3,1.89534005800365,0.0189534005800365,1.61357901904965,38.3225374272841,8.50812609127151,9672.62308253101,4.55854872243899
thunniform,2,4,1.78859286802792,0.0178859286802792,1.61257531878833,38.2681718575662,9.01030173153636,9127.85259166607,4.83061302236231
thunniform,2,5,1.68075816741987,0.0168075816741987,1.59987687859758,41.5831097230189,9.51288293900672,8577.53213081016,5.1405372691202
thunniform,2,6,1.78129695397601,0.0178129695397601,1.60089060973647,38.0364593847694,8.98165052709694,9090.61883703265,4.85039845867066
ostraciiform,2,1,8.35967310044547,0.0835967310044547,2.10171642875896,10.0168333701009,2.51255539150258,42662.5114856442,1.48067990832565
ostraciiform,2,2,8.18109525977988,0.0818109525977988,2.08934852072526,10.2356323813141,2.55229142429827,41751.1625504721,1.5130003510475
ostraciiform,2,3,8.113406835761,0.08113406835761,2.11427326049183,10.4276612745032,2.6042860490863,41405.7234247489,1.52562299051025
ostraciiform,2,4,7.70376637361831,0.0770376637361831,2.0841285817155,10.9062952335114,2.70366093884957,39315.1762572746,1.60674654444204
ostraciiform,2,5,7.50199625371059,0.0750199625371059,2.03872945618042,10.9397305286197,2.71589875309768,38285.4685217455,1.64996083460821
ostraciiform,2,6,7.42081778630926,0.0742081778630926,2.03364584205368,10.9124237221567,2.73876252106643,37871.1847027154,1.66801023235421
